City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
151,raduzhnyy,62.0961,77.475,262.62,93,100,5.89,RU,1737737502
152,slave lake,55.2834,-114.769,271.14,69,100,7.72,CA,1737737402
153,acarau,-2.8856,-40.12,302.04,66,40,5.99,BR,1737737506
154,vilyuysk,63.7553,121.6247,248.72,94,31,2.71,RU,1737737507
155,kholmsk,47.0511,142.0569,264.31,91,71,2.3,RU,1737737508
156,port blair,11.6667,92.75,299.17,83,75,1.54,IN,1737737509
157,minas,-34.3759,-55.2377,303.12,48,100,3.7,UY,1737737510
158,la passe,45.5549,-0.8967,286.89,73,100,7.73,FR,1737737511
159,enoch,37.7733,-113.0244,277.86,24,5,3.13,US,1737737513
160,hell-ville,-13.4,48.2667,300.46,75,55,1.22,MG,1737737514
161,sorochinsk,52.4338,53.1583,261.16,88,100,4.94,RU,1737737516
162,castillos,-34.1667,-53.8333,303.99,50,100,2.02,UY,1737737517
163,porto novo,6.4965,2.6036,303.05,66,83,4.9,BJ,1737737518
164,el carril,-25.0741,-65.4917,300.62,52,64,2.07,AR,1737737520
165,mar del plata,-38.0023,-57.5575,301.45,60,0,6.69,AR,1737737491
166,vila franca do campo,37.7167,-25.4333,289.38,75,89,4.45,PT,1737737523
167,queenstown,-31.8976,26.8753,295.97,67,25,8.4,ZA,1737737242
168,sambava,-14.2667,50.1667,299.1,78,76,0.99,MG,1737737526
169,tarko-sale,64.9225,77.785,259.4,95,100,6.14,RU,1737737527
170,avarua,-21.2078,-159.775,296.18,94,79,1.03,CK,1737737528
171,hobbs,32.7026,-103.136,277.2,24,0,7.72,US,1737737529
172,banjarmasin,-3.3244,114.591,298.23,95,100,0.53,ID,1737737530
173,college,64.8569,-147.8028,277.29,82,100,0.89,US,1737737533
174,port macquarie,-31.4333,152.9167,293.75,78,100,2.39,AU,1737737534
175,shitanjing,39.2342,106.3439,266.16,90,100,8.38,CN,1737737535
176,hau-ri,41.2006,129.4703,267.4,73,15,1.42,KP,1737737536
177,tanumah,27.1,44.1333,290.13,25,17,5.08,SA,1737737537
178,umm kaddadah,13.6017,26.6876,294.24,19,2,5.55,SD,1737737538
179,nosy varika,-20.5833,48.5333,298.03,92,100,1.22,MG,1737737540
180,papatowai,-46.5619,169.4708,284.84,90,100,2.93,NZ,1737737541
181,moapa valley,36.5805,-114.4703,280.25,13,0,0.34,US,1737737542
182,rodolfo sanchez taboada,31.7167,-116.5667,290.2,21,98,1.26,MX,1737737543
